league,division,standing in 86,team,wins in 86,losses in 86,home attendance in 86,away attendance in 86,av salary in 87
  N,E,1,N.Y.,108,54,2767601,2176615,526899
  N,E,2,Phi.,86,75,1933335,1721147,540930
  N,E,3,St.L.,79,82,2471974,1695738,445049
  N,E,4,Mon.,78,83,1128981,1926119,312959
  N,E,5,Chi.,70,90,1859102,1879706,556256
  N,E,6,Pit.,64,98,1000917,1651057,223730
  N,W,1,Hou.,96,66,1734276,1816220,430363
  N,W,2,Cin.,86,76,1692432,1849888,313194
  N,W,3,S.F.,83,79,1528748,1924802,326583
  N,W,4,S.D.,74,88,1805716,1779829,405340
  N,W,5,L.A.,73,89,3023208,2074970,580250
  N,W,6,Atl.,72,89,1387181,1837380,462188
  a,E,1,Bos.,95,66,2147641,2266765,552646
  a,E,2,N.Y.,90,72,2268030,2196697,551519
  a,E,3,Det.,87,75,1899437,1821142,445978
  a,E,4,Tor.,86,76,2455477,1716243,423417
  a,E,5,Cle.,84,78,1471805,1727486,363073
  a,E,6,Mil.,77,84,1265041,1707552,266542
  a,E,7,Bal.,73,89,1973176,1737994,550229
  a,W,1,Cal.,92,70,2655872,1685439,408181
  a,W,2,Tex.,87,75,1692002,1670132,240250
  a,W,3,K.C.,76,86,2320794,1909566,405833
  a,W,4,Oak.,76,86,1314646,1614837,392951
  a,W,5,Chi.,72,90,1424313,1852893,371979
  a,W,6,Min.,71,91,1255453,1707440,432097
  a,W,7,Sea.,67,95,1029045,1558546,186146
